NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;DRR;QDRR
75106001;LUXEMBOURG;48.844667;2.333833;46;20240318;0.0;1;12.4;1;622;9;19.4;1;1316;9;14.5;1;15.9;1;7.0;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240319;0.0;1;8.8;1;554;9;19.8;1;1531;9;13.6;1;14.3;1;11.0;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240320;0.0;1;8.8;1;337;9;22.7;1;1401;9;15.0;1;15.8;1;13.9;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240321;0.0;1;10.3;1;601;9;22.0;1;1532;9;15.8;1;16.2;1;11.7;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240322;3.0;1;10.1;1;521;9;20.4;1;1457;9;14.2;1;15.3;1;10.3;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240323;7.4;1;5.4;1;724;9;13.0;1;1232;9;8.0;1;9.2;1;7.6;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240324;0.2;1;5.3;1;415;9;13.9;1;1348;9;8.6;1;9.6;1;8.6;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240325;0.4;1;4.1;1;527;9;14.9;1;1240;9;9.9;1;9.5;1;10.8;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240326;5.2;1;9.1;1;455;9;13.2;1;1243;9;10.0;1;11.2;1;4.1;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75106001;LUXEMBOURG;48.844667;2.333833;46;20240327;4.2;1;6.5;1;15;9;13.6;1;1321;9;9.4;1;10.1;1;7.1;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
